Context,Entity,Description,Entity Type,TS
"The MME shall initiate the GUTI reallocation procedure by sending a GUTI REALLOCATION COMMAND message to the UE and starting the timer T3450 (see example in figureÂ 5.4.1.2.1).
The GUTI REALLOCATION COMMAND message shall include a GUTI and may include one or more of the following:
-	a TAI list;
-	a DCN-ID; and
-	in WB-S1 mode, if the UE supports RACS, either a UE radio capability ID deletion indication or a UE radio capability ID.
Figure 5.4.1.2.1: GUTI reallocation procedure",T3450,The T3450 timer is used by the MME to track the time elapsed during the GUTI reallocation procedure.,Parameter,3GPP TS 24.301
"Iâb â IP RNC with ATM Node B - Iâr â IP RNC with ATM RNC. When an operator is migrating from ATM to IP, for example, a newly deployed UTRAN node should be allowed to support only IP interfaces and still be able to interwork with ATM UTRAN nodes. It should not be required to support AAL2/ATM UTRAN interfaces in order to interoperate with AAL2/ATM UTRAN nodes. This is the case for the following reasons Otherwise, all Release 5 RNCs having connectivity with both ATm NEs and Ip NEs terminating RNL protocols would need to support both types of interfaces There may be manufacturers that want to supply only UTRAN nodes with one transport technology (such as IP-only nodes) but interwork with existing ATM nodes terminating RNL protocols in the operators network When an operator is migrating from ATM to IP, the newly deployed nodes would need to also support ATM interfaces to interwork with the legacy ATM nodes terminating RNL protocols. This means that the ATM network is being extended, which",DCN,"The Dedicated Core Network (DCN) is a collective set of interconnected network functions that work together to deliver specific telecommunications capabilities. In this context, the DCN is involved in the reroute NAS request procedure, where the SGSN initiates the procedure by sending a REROUTE NAS REQUEST message to the RNC, which then reroutes the INITIAL UE MESSAGE message to the DCN indicated by the SGSN Group Identity IE.",Network,TS 25.413
"flow detour. Figure 5.1.3-1: Voice flow detour if SBC is not adjacent to SAE GW Figure 5.1.3-2: No voice flow detour if SBC is adjacent to SAE GW Instance2: For EPC network, there is the similar requirement that the SAE GW should be adjacent to some content resource (e.g. CDN cache point). When the CDN cache is in the edge DC, the virtualized SAE GW should not be allowed to be deployed in the core DC, when the CDN cache is in the core DC, the virtualized SAE GW is better to be deployed in the core DC. The assumptions are (for Instance1): 1) The operator has two types' DCs, core DCs are centralized in some individual region and edge DCs are distributed in most cities. 2) The operator need deploy IMS network in one region and the EPC network has already been running.",CDN,"A collective set of interconnected network functions delivering telecommunications capabilities, specifically referring to a Coupling/Decoupling Network (CDN) which is part of the content delivery infrastructure.",Network,3GPP TS 32.871
"The following RNC complexity aspects are considered in this subsection : throughput, buffering / scheduling and interfaces. Throughput As the cell throughput at 7.68Mcps is approximately 10% greater than at 3.84Mcps (section 5.3.2.5.4), RNCs will have to support a higher mean data rate at the higher chip rate. Buffering Typically 30-40% more packet users can be supported at 7.68Mcps than at 3.84Mcps. The buffering requirements for USCH, HS-DSCH and DSCH data in the RNC will thus be proportionately greater at the higher chip rate. RRM Twice as many cells are supported at 3.84Mcps than at 7.68Mcps, thus twice as many RRM instances are required at 3.84Mcps than at 7.68Mcps. Interfaces The higher mean data rate that 7.68Mcps systems support leads to a requirement for slightly higher interface speeds on the Iub, Iur and IuPS / IuCS interfaces. These interfaces need to be approximately 10% faster at 7.68Mcps compared to 3.84Mcps.",UP,"The UE Positioning (UP) protocol, specifically referred to as Iu UP in this context, operates in the User plane of the Radio Network layer over the Iu interface. It is responsible for conveying user data associated with Radio Access Bearers (RABs). Each RAB has one associated Iu UP protocol instance, and multiple instances can exist if several RABs are established towards a single UE.",Protocol,TS 25.415
"The user plane solution is to establish a normal connection between the DM and UE (comparable to a connection between a UE and a web-server) and send data as user data over the Uu interface. What needs to be solved are: The architecture for the user plane solution needs to be included in the 3GPP management architecture. SA2, SA5, RAN2, RAN3 and OMA DM WG need to be involved. The OMA DM needs to have a Itf-N to the Network Manager. SA5 and OMA DM WG need to be involved. The DiagMon function needs to have a Trace IRP interface on the Itf-N. SA5 and OMA DM WG need to be involved. The Trace IRP and Subscriber and Equipment Trace specifications need to include UE in the Subscriber and Equipment Trace Function, i.e. to specify the UE as a node that is possible to trace data in. SA5 and OMA DM WG need to be involved. Thearchitecture for trace administration, i.e. that the signalling to the UE needs to carry the information for Subscriber and Equipment Trace for configuring the Trace function",WG,"A Working Group (WG) in 3GPP is a team of experts responsible for specific work areas, such as RAN1, SA2, SA4, CT1. They focus on particular aspects of telecommunications standardization.",Working Group,3GPP TS 32.827
"The MDF shall populate the TargetIdentifiers field of the IRIPayload defined in Annex A with all Target Identifiers available at the MDF. For all Identifiers received in the LI_X2 ""Matched Target Identifier"" conditional attribute (see clause 5.3.2), the MDF shall include the relevant Identifier with the provenance set to ""matchedOn"". For all Identifiers received in the the LI_X2 ""Other Target Identifier"" conditional attribute (see clause 5.3.2), the MDF shall include the relevant Identifier with the provenance set to ""other"". For all Identifiers present in the xIRI payload, the MDF shall include the relevant Identifier with the provenance set to ""observed"". For all Identifiers present in the provisioning message received over X1, the MDF shall include the relevant Identifier with the provenance set to ""lEAProvided"". For all Identifiers present in the MDF that are not reported as other TargetIdentifiers, the MDF shall include the relevant Identifier with the provenance set to ""other"".",MDF,"The Mediation and Delivery Function (MDF) is a network component responsible for mediating and delivering Lawful Interception (LI) information between different network elements. It plays a crucial role in the LI architecture, handling tasks such as populating Target Identifiers fields and managing identifier provenance.",Network Function,3GPP TS 33.128
"there is a very small difference between LHR and IHR mechanisms so that there is limited impact regarding the system capacity. Table 5.3.1.4-1: Call drop ratio for 30 and 60 km/h In table 5.3.1.4-2, if the network only perform x transmissions (x is 2, 3 or 4), the call drop ratio will be lower if there are more transmissions. If the network perform x+y transmissions, the call drop ratio will be further reduced, e.g. 4.32% for IHR (2) and 2.78 for IHR (2+2). For increased power for HS-DSCH transmission mode, the call drop ratio is lower than the IHR (2) mode, but higher than all other IHR modes. In the simulation, most of call drops happen in bad radio condition, and the network may not have available power for HS-DSCH transmission(s), so the effect is compromised. Table 5.3.1.4-2: Call drop ratio for different HARQ retransmission numbers (60 km/h) Based on the above results, there are the following observations: - The IHR mechanism could improve call drop ratio when UE radio condition",RETAP,"RETAP (Remote Electrical Tilting Application Part) refers to a set of messages used for communication between devices, specifically primary and secondary devices, within the context of Layer 2 transmission. These messages are categorized into two types: Class 1, which involves initiating messages that require a response from the receiving device to complete an action, and Class 2, where no response is expected after sending the initiating message. All RETAP messages adhere to a standard basic format as outlined in Table 5.1.1 of the specification.",Message,TS 25.463
"Let T0 stands for the initial transmitting time and Tc stands for the samples period. Time synchronization consists on finding these two values. Tc value is supposed to be known since it corresponds to a system parameter. Due to several impairments, a shift in Tc value may occur, a tracking mechanism must be applied. The most general method for time synchronization is done by fulfilling an auto-correlation over the received signal with a length equal to the cyclic prefix length. Since the cyclic prefix is a copy of the last part of the OFDM symbol, the autocorrelation will present a peak when it is done between the cyclic prefix (which is located at the beginning of the OFDM symbol) and the last part of the same OFDM symbol of the same length. This allows the detection of the beginning of the OFDM symbol. Time synchronization tracking is done by the same technique. But in this case, there is no more need to fulfill correlation over the whole OFDM symbol. Only a correlation between the",DSP,"The Domain Specific Part (DSP) is a component of the Network Service Access Point (NSAP) structure, which is used to convey IP addresses in RANAP, RNSAP, and NBAP. The DSP is the remaining octets after the Initial Domain Part (IDP), as specified in IETF RFC 4548. It plays a crucial role in determining the network type and encapsulating native IPv6 or IPv4 addresses within the NSAP structure.",Parameter,TS 25.401
"In the case that an uplink DPCH has been configured by higher layers but a downlink DPCH has not been configured, the UE shall report downlink synchronisation status based upon other downlink physical channels. The UE shall monitor the received beacon signal level within the cell and shall average the received beacon power over a period of 160ms. This averaged value is denoted Pb dBm. The UE shall also monitor and average over the same period, the ISCP on the assigned HS-SCCH resources. This value is denoted IHS-SCCH dBm. A quality value Qhs is formed as follows: Qhs = Pb â IHS-SCCH + Dhs-sync - where Dhs-sync is signalled by higher layers. In-sync shall be reported using the CPHY-Sync-IND primitive each time an HS-DSCH CRC pass is detected. On this event, an indicator maintained by the UE termed ""HS-DSCH_failure"" shall be set to 'false'. In-sync shall also be reported if the HS-DSCH_failure indicator is set to 'false' and during the last 160ms period, Qhs > Qhsin, where Qhsin is a",ICIC,"Inter-Cell Interference Coordination (ICIC) is a procedure in E-UTRA that aims to manage radio resources to minimize inter-cell interference. It involves multi-cell Radio Resource Management (RRM) functions, taking into account information from multiple cells, such as resource usage status and traffic load situation.",Procedure,TS 25.912
"CCA currently does not have any information regarding the service request for which the CCA is sent. In this solution the CCA can also be enhanced to include a service request info to further decrease the attack surface. Thus, it is proposed to couple the CCA with the service request and/or the access token request along with which the CCA is sent. For example, a new parameter 'serviceRequestInfo' can be added in the CCA which contains the request info and/or the scope information for which the access token is generated. When the NRF/NFp receives the request from a SCP, they compare the CCA 'serviceRequestInfo' parameter against the request which they have received. In case of successful verification, the response is sent.",CCA,"A critical network attribute for operation, specifically a new parameter proposed to be added in the Client Credential Assertion (CCA) to contain service request information and/or scope information for which an access token is generated.",Parameter,3GPP TS 33.875
"Only applicable for mobile stations supporting VGCS listening or VBS listening: When in state MM IDLE and service state RECEIVING GROUP CALL (LIMITED SERVICE), the mobile station shall: - not perform periodic updating; - not perform IMSI detach; - reject any requests from CM entities for MM connections except for emergency calls; - perform normal location updating when a cell is entered which may provide normal service (e.g. location area not in one of the forbidden LAI lists.); - it may respond to paging (with IMSI); - indicate notifications to the GCC or BCC sublayer for which a channel description has been received in the notification by the RR sublayer; - reject requests of the GCC or BCC sublayer to respond to notifications for which no channel description has been received in the notification by the RR sublayer; - request the RR sublayer to receive a voice group or broadcast call if the GCC or BCC sublayer requests the reception of a voice group or broadcast call for which a channel description has been received in the notification by the RR sublayer and then go to the service state RECEIVING GROUP CALL (LIMITED SERVICE).The Power Up Random Access Radio Network Temporary Identifier (PUR-RNTI) is a unique identifier used within the context of Narrowband Internet of Things (NB-IoT) in Evolved Universal Terrestrial Radio Access (E-UTRA). It is associated with specific procedures and configurations for Non-Physical Downlink Control Channel (NPDCCH) transmissions, particularly in scenarios involving random access and power-up situations. PUR-RNTI plays a crucial role in managing and coordinating the transmission of control information between the network and user equipment (UE), ensuring efficient use of radio resources and minimizing interference.",PUR-RNTI,"The Power Up Random Access Radio Network Temporary Identifier (PUR-RNTI) is a unique identifier used within the context of Narrowband Internet of Things (NB-IoT) in Evolved Universal Terrestrial Radio Access (E-UTRA). It is associated with specific procedures and configurations for Non-Physical Downlink Control Channel (NPDCCH) transmissions, particularly in scenarios involving random access and power-up situations. PUR-RNTI plays a crucial role in managing and coordinating the transmission of control information between the network and user equipment (UE), ensuring efficient use of radio resources and minimizing interference.",Parameter,3GPP TS 36.211
"NOTE: If the OMA DRM V2.0 DCF [15] specification is upgraded, these upgrades do not apply for the present document. When it is required to protect MBMS download data, OMA DRM V2.0 DCF as defined in OMA DRM V2.0 DCF [15] shall be used. MBMS download data are therefore indicated by minor version 0x00000002 in a DCF. OMA DRM Rights Objects are not utilized. Instead, encryption and authentication keys are generated from MTK. For integrity protection, an OMADRMSignature as specified below is attached inside the optional Mutable DRM information box ('mdri') of the DCF. The OMADRMSignature Box is an extension to OMA DRM V2.0 DCF for use by MBMS, and is defined as follows: aligned(8) class OMADRMSignature extends Fullbox(âodfsâ, version, flags) { Unsigned int(8) SignatureMethod; // Signature Method Char Signature[]; // Actual Signature } SignatureMethod Field: NULL 0x00 HMAC-SHA1 0x01 The range of data for the HMAC calculation shall be according to section 5.3 of OMA DRM V2.0 DCF [15]. The",DCF,"DRM Content Format (DCF) is a standard used for protecting multimedia content in mobile networks, particularly within MBMS (Multimedia Broadcast Multicast Service). It defines the format and structure for encrypting and authenticating content to ensure its integrity and prevent unauthorized access.",Specification,3GPP TS 33.246
"The following are high level charging requirements for Control Plane data transfer, derived from requirements in TS 23.682 [243]: - Every PDN connection shall be assigned a unique identity number for billing purposes. (i.e. the Charging Id); - CPCN shall be capable of identifying NIDD submission request events in mobile originated (MO) and mobile terminated (MT) direction; - CPCN shall be capable of identifying data volume per NIDD submission request; - CPCN shall be capable of handling the Charging Characteristics; - CPCN shall be able, based on operator configuration, to collect charging information for the PDN connection in the same PLMN using offline charging; - PDN connection in a different PLMN using offline charging. For the PDN connection, the CPCN shall collect the following information: - usage of the radio interface: the charging information shall describe the amount of data transmitted in MO and MT directions using Control Plane CIoT EPS Optimisation per each NIDD",CPCN,"The Control Plane Charging Node (CPCN) is a network function responsible for handling charging-related tasks in the control plane of the Evolved Packet Core (EPC) and 5G Core networks. It collects and processes charging information for PDN connections, including data volume, usage of radio interfaces, and other relevant details.",Network Function,3GPP TS 32.253
The following describes this scenario in more detail. RN Pre-configuration (Phase 1) Consider a scenario where a RN Connects to a RAN shared Cell on say PLMN A in phase 1 to obtain RN pre-configuration information. OAM would like to indicate that RN needs to connect to a PLMN B on shared cell for RN operation e.g. because only CN B has the MME RN or is for exclusive use by the operator B. Figure 4.2.2.1 illustrates the need for the DeNB Cell List information to be updated to include information about the PLMN which RN should connect to. Figure 4.2.2.1: Illustration of scenario where RN connects to RN OAM via a PLMN A but is requested by OAM to connect as a RN on PLMN B,RN,"A Relay Node (RN) extends the coverage and capacity of a cellular network. It acts as a repeater, amplifying and retransmitting signals to and from user equipment, thereby enhancing overall network performance.",Network Function,3GPP TS 32.851
"Online Credit-Control uses two basic logical operations: Debit Units and Reserve Units. - ""Debit Units Request""; sent from CTF OCF After receiving a service request from the subscriber, the CTF sends a Debit Units Request to the OCF. The CTF may either specify a service key (centralised unit determination) or the number of units requested (decentralised unit determination). For refund purpose, the CTF sends a Debit Units Request to the OCF as well. - ""Debit Units Response""; sent from OCF CTF The OCF replies with a Debit Units Response, which informs the CTF of the number of units granted as a result of the Debit Units Request. This includes the case where the number of units granted indicates the permission to render the requested service. For refund purpose, the OCF replies with a Debit Units Response. - ""Reserve Units Request""; sent from CTF OCF Request to reserve a number of units for the service to be provided by an CTF. In case of centralized unit determination, the CTF specifies",CTF,The Charging Trigger Function (CTF) is responsible for triggering charging events and managing credit control in online charging scenarios within the telecommunications network.,Network Function,3GPP TS 32.299
"IDC solution as described in TS 36.300 [2] and TS 38.300 [3] is extended to address EN-DC/NR-DC operation. For the FDM solution, the list of NR carriers or NR frequency ranges suffering from IDC problems is signalled in IDC report. For the TDM solution, a periodic pattern can be signalled per-CG in IDC report. In EN-DC, the MN can configure the UE to report FDM assistance information with affected carriers. In NR-DC, the MN can configure the UE to report FDM assistance information with affected frequency ranges and/or TDM assistance information. For both EN-DC and NR-DC, the SN can configure the UE to report FDM assistance information with affected frequency ranges and/or TDM assistance information to the SN via SRB1 or SRB3, if SRB3 is configured and the SCG is activated. The network can also configure autonomous denial per-CG for the UE to solve IDC problems. The requirement on RRM/RLM/CSI measurements in different phases of IDC interference defined in TS 36.300 [2] is applicable",IDMA,"Interleaved Division Multiple Access (IDMA) is a technology used in cellular networks to enable inter-cell-interference cancellation. It involves cell-specific interleaving to suppress interference between cells, allowing for more efficient use of frequency resources. IDMA requires specific system requirements, including band allocation, synchronization, and intra-cell signaling.",Technology,TS 25.814
"Sources in TS 22.261 [3] copied from TS 22.261 [3] Clause 7.3.2.2: The 5G system shall be able to provide positioning services with the performance requirements reported in Table 7.3.2.2-1. NOTE: The requirements do not preclude any type of UE, including specific UE such as for example V2X, MTC. Table 7.3.2.2-1 Performance requirements for Horizontal and Vertical positioning service levels The 5G system shall be able to provide the 5G positioning services with a TTFF less than 30 s and, for some 5G positioning services, shall support mechanisms to provide a TTFF less than 10 s.NOTE 1: In some services, a TTFF of less than 10s may only be achievable at the expense of a relaxation of some other performances (e.g. horizontal accuracy may be 1 m or 3 m after 10 s TTFF, and reach a steady state accuracy of 0,3 m after 30 s). The 5G system shall support a mechanism to determine the UE's velocity with a positioning service availability of 99%, an accuracy better than 0,5 m/s for the speed and",TTFF,"Time To First Fix (TTFF) measures the time taken by a 5G system to provide its first positioning fix. It is crucial for evaluating the performance of positioning services, especially in applications needing rapid location fixes like V2X and public safety.",Parameter,3GPP TS 38.845
"For a CSI-ReportConfig with higher layer parameter reportQuantity set to 'tdcp' and higher layer parameters and , the reported TDCP amplitude(s) corresponding to the configured delays are indicated by and the corresponding amplitude values are obtained from: , for , where the mapping from to is given in Table 5.2.1.4.5-1. Table 5.2.1.4.5-1: Mapping of elements of : to TDCP amplitudes: For , if the higher layer parameter phase is configured, the reported TDCP phases are indicated by and the corresponding phase values are given by: .",TDCP,"Time Domain Channel Properties (TDCP) refers to a set of parameters that describe the characteristics of a wireless communication channel in the time domain. These properties include amplitude and phase information, which are crucial for accurate channel estimation and signal processing in 5G networks.",Parameter,3GPP TS 38.214
"A GTP control plane (signalling) message may contain several information elements. In order to have forward compatible type definitions for the GTPv2 information elements, all of them shall be TLIV (Type, Length, Instance, Value) coded. GTPv2 information element type values are specified in the Table 8.1-1. The last column of this table indicates whether the information element is: - Fixed Length: the IE has a fixed set of fields, and a fixed number of octets. - Variable Length: the IE has a fixed set of fields, and has a variable number of octets. For example, the last octets may be numbered similar to ""5 to (n+4)"". In this example, if the value of the length field, n, is 0, then the last field is not present. - Extendable: the IE has a variable number of fields, and has a variable number of octets. The last fields are typically specified with the statement: ""These octet(s) is/are present only if explicitly specified"". The legacy receiving entity shall ignore the unknown octets. In order to improve the efficiency of troubleshooting, it is recommended that the information elements should be arranged in the signalling messages as well as in the grouped IEs, according to the order the information elements are listed in the message definition table or grouped IE definition table in clause 7. However the receiving entity shall be prepared to handle the messages with information elements in any order. Within information elements, certain fields may be described as spare. These bits shall be transmitted with the value set to 0. To allow for future features, the receiver shall not evaluate these bits. GTPv2-C information elements that have similar semantics in GTPv1-C shall be converted into GTPv1-C format, as specified in TS 29.060[ General Packet Radio Service (GPRS); GPRS Tunnelling Protocol (GTP) across the Gn and Gp interface ]  [4], before sending them to a pre-R8 GSN. Table 8.1-1: Information Element types for GTPv2",GSN,"The GPRS Support Node (GSN) is a network element in the General Packet Radio Service (GPRS) architecture, responsible for managing packet data transmissions between mobile devices and external networks. It plays a crucial role in supporting GPRS services by handling tasks such as packet routing, mobility management, and charging.",Network Function,3GPP TS 29.274
"In TS 33.501 [2], the ARPF is defined as a function to be provided within the UDM. For interworking with EPC (and IMS), in TS 23.501 [10], the HSS and the UDM are also defined as a combined NF, i.e. HSS+UDM where interactions between the HSS and the UDM are not specified. The HSS also includes the function to generate authentication vectors in EPS, IMS, GBA and GPRS/UMTS domains; i.e. the AuC. The HSS+UDM may be deployed as a stateful or stateless NF. Figure A.2-1 shows the ARPF deployment option when the HSS+UDM is deployed as a stateful NF and subscription credentials are stored within the HSS+UDM (i.e. within the AuC+ARPF). Figure A.2-1: Stateful ARPF deployment Figure A.2-2 shows the ARPF deployment option when the HSS+UDM is deployed as a stateless NF and subscription credentials are stored in the UDR (i.e. EPS + 5GS UDR). Figure A.2-2: Stateless ARPF deployment",ARPF,"The Authentication credential Repository and Processing Function (ARPF) is a network function responsible for storing and processing authentication credentials within the 5G core network, specifically within the Unified Data Management (UDM) or Home Subscriber Server (HSS). It plays a crucial role in user authentication and session management.",Network Function,3GPP TS 33.845
"mean that all the devices shown in the figure are accessing simultaneously using single (U)SIM. Figure 1: (U)SIM Security Re-use by Peripheral Devices Using Local Interfaces (USB/BT, etc.) Figure 1 shows some of the different types of (U)SIM security re-use related usage models that are possible. The local interfaces depicted are either BT based or USB based or PC card interface or also could be based on any other wired or wireless interconnect technology. Some of the scenarios illustrated are: - PDA with WLAN capability re-using the SIM inside a GSM Terminal over a BT interface; - Notebook PC with WLAN capability re-using the SIM inside a GSM Terminal over a BT interface; - Notebook PC with WLAN capability re-using the USIM inside a UMTS Terminal over a BT interface; - Notebook PC with WLAN capability re-using the SIM from a plug-in GPRS PC card module; - Notebook PC with WLAN capability re-using a USIM from a UMTS terminal over a USB interface; - GSM-GPRS-WLAN multi-mode terminal",USB,"Universal Serial Bus (USB) is an interface standard that enables communication between devices and a host controller, facilitating data exchange and connectivity. In the context of 3GPP TS 33.817, USB is mentioned as one of the local interfaces used for (U)SIM security re-use by peripheral devices.",Interface,3GPP TS 33.817
"This solution addresses Key Issue 2&3 to support the secure MBS traffic delivery from context provider to multiple UEs through 5GS. In the agreed architecture in TR 23.757 [2], the MBSF-U (Multicast/Broadcast Service Function-User plane) is defined as a new entity to handle the payload part to cater for the service level functions and management. MBSF-C (Multicast/Broadcast Service Function-Control plane) is defined as a new entity to functionality to handle the control plane signalling. This solution protects the MBS traffic between the MBSF-U in the operator domain and the UE. It is independent to the protection in the application layer from the content provider. The keys for protection of MBS traffic are generated in the SMF. Afterwards, the keys are distributed to UEs and MBSF-U respectively. The UEs, which belongs to a multicast group, acquire the same keys in the MBSF-U. The keys can be updated in an efficient way.",MBSF-U,"The Multicast/Broadcast Service Function-User plane (MBSF-U) handles the payload part of multicast and broadcast services, catering to service level functions and management. It operates in the user plane and secures MBS traffic between the operator domain and user equipment.",Network Function,3GPP TS 33.850
"Dedicated uplink physical channels are used to carry the DCH transport channel and control information generated at Layer 1. The Layer 1 control information consists of known pilot bits to support channel estimation for coherent detection, transmit power-control (TPC) commands, feedback information (FBI), and an optional transport-format combination indicator (TFCI). The transport-format combination indicator informs the receiver about the instantaneous transport format combination of the transport channels mapped to the simultaneously transmitted uplink DPDCH radio frame. There is one and only one uplink DPCCH on each radio link. Two types of uplink DPCH, uplink DPDCH and uplink DPCCH are used. The DPDCH and the DPCCH are I/Q code multiplexed within each radio frame Two types of uplink DPCCH; those that include TFCI (e.g. for several simultaneous services) and those that do not include TFCI (e.g. for fixed-rate services) are used. It is the UTRAN that determines if a TFCI should be",TFCI,The Transport Format Combination Indicator (TFCI) is a parameter that informs the receiver about the instantaneous transport format combination of the transport channels mapped to the simultaneously transmitted uplink DPDCH radio frame.,Parameter,3GPP TS 34.943
"provider, of accessing and delivering in real-time certain current information to a Law Enforcement Monitoring Facility (LEMF). This information includes Intercept Related Information (IRI) and Content of Communications (CC). LCS (Location Services): LCS is a service concept in system (e.g. GSM, UMTS, UTRAN or EUTRAN) standardization. LCS specifies all the necessary network elements and entities, their functionalities, interfaces, as well as communication messages, due to implement the positioning functionality in a cellular network. Note that LCS does not specify any location based (value added) services except locating of emergency calls and Lawful Access Services. LCS Client: Software and/or hardware entity that interacts with a LCS Server for the purpose of obtaining location information for one or more Mobile Stations. LCS Clients subscribe to LCS in order to obtain location information. LCS Clients may or may not interact with human users. The LCS Client is responsible for",LCS,"Location Services (LCS) is a service concept that specifies the necessary network elements, entities, functionalities, interfaces, and communication messages to implement positioning functionality in a cellular network.",Service,3GPP TS 33.106
"or service CGF and the BD C Interface between a HLR and a SMSC CAP Reference point for CAMEL between a network element with integrated SSF and the OCS Ci Charging trigger in combined MMS R/S D Interface between a MSC and a HLR D' Reference point between an MSCa pre-R6 HSS/HLR and a BSC.3GPP AAA Server Dw Reference point between a 3GPP AAA Server and an SLF E Interface between a MSC and a SMSC Ga Reference point for CDR transfer between a CDF and the CGF Gb Interface between an SGSN and a BSC Gc Interface between an GGSN and an HLR Gd Interface between an SMS-GMSC and an SGSN, and between a SMS-IWMSC and an SGSN Ge Interface between a SGSN and a CAMEL GSM SCF Gf Interface between an SGSN and an EIR Gi Interface between the Packet-Switched domain and an external packet data network Gm Reference point between the UE and an P-CSCF Gn Interface between two GSNs within the same PLMN Gp Interface between two GSNs in different PLMNs Gr Interface between an SGSN and an HLR Gr' Reference point",AN,The Access Network (AN) is a collective set of interconnected network functions delivering telecommunications capabilities. It specifically refers to the infrastructure that provides access to the core network for user equipment.,Network,3GPP TS 32.272
"The network initiates the ESM information request procedure by sending an ESM INFORMATION REQUEST message to the UE, starting timer T3489 and entering the state PROCEDURE TRANSACTION PENDING (see example in figureÂ 6.6.1.2.2.1). This message shall be sent only after the security context has been setup, and if the ESM information transfer flag has been set in the PDN CONNECTIVITY REQUEST message. The MME shall set the EPS bearer identity of the ESM INFORMATION REQUEST message to the value ""no EPS bearer identity assigned"" and include the PTI from the associated PDN CONNECTIVITY REQUEST message.
Figure 6.6.1.2.2.1: ESM information request procedure",T3489,Timer T3489 is started by the network when initiating an ESM information request procedure. The timer is used to track the duration of the procedure.,Parameter,3GPP TS 24.301
"Editorâs Note: To start the discussion we present the requirements from TISPAN below. These requirements are also presented as 3GPP requirements in following section. It is noted here, however, that TISPAN requirements should be considered as providing a âbasisâ of requirements but not an already completed requirement set. Any new requirements are of course FFS for the TR. TISPAN UC requirements [1] are: R-UC-: The NGN shall provide a means for NGN-users to report calls as UC R-UC-: Reports of UC made by NGN-users shall be auditable by the NGN. R-UC-3: The NGN should provide the ability for an affected user to request the rating of an UC call R-UC-4: The NGN should provide the ability for an affected user to challenge the ratings made by the UC detection system. R-UC-5: The NGN should provide the ability to the affected CSP to extract from the call signalling sufficient information to provide a UC rating for the call R-UC-6: The NGN should provide a mechanism to convey the UC rating in",NGN,"The Next Generation Network (NGN) is a collective set of interconnected network functions delivering telecommunications capabilities, specifically designed to provide advanced features and services such as unified communications (UC), call reporting, auditing, and rating.",Network,3GPP TS 33.837
"The SEG_COUNT in the table specifies the maximum possible transport BCH blocks scheduled for broadcasting. The more contents a SIB has, the more transport BCH blocks are needed for broadcasting. In order to keep SIB repetition period, SIB_REP, unchanged in different test cases, each specific SIB in the individual test cases after the PER encoding shall not exceed the SEG_COUNT scheduled. If the transport BCH blocks actually required for a SIB is less than the scheduled SEG_COUNT, the no_segment blocks shall be placed at the rest scheduled transport BCH blocks. In addition, the corresponding SEG_COUNT IE value in MIB or in SB1 shall be set to the number of transport BCH blocks actually required.",BCH,"The Broadcast Channel (BCH) is a type of connection used for broadcasting system information from the network to user equipment. It carries critical information such as system parameters, cell identity, and other essential data necessary for UE operation.",Connection,3GPP TS 34.108
"The PDU Set Error Rate (PSER) defines an upper bound for the rate of PDU Sets that have been processed by the sender of a link layer protocol (e.g. RLC in RAN of a 3GPP access) but that are not successfully delivered by the corresponding receiver to the upper layer (e.g. PDCP in RAN of a 3GPP access). Thus, the PSER defines an upper bound for a rate of non-congestion related PDU Set losses. The purpose of the PSER is to allow for appropriate link layer protocol configurations (e.g. RLC and HARQ in RAN of a 3GPP access). NOTE 1: In this Release, a PDU Set is considered as successfully delivered only when all PDUs of a PDU Set are delivered successfully. NOTE 2: How RAN enforces PSER is up to RAN implementation. A QoS Flow is associated with at most one PDU Set Error Rate value per direction. PSER is an optional parameter. If the PSER is available, the PSER supersedes the PER.",PSER,"The PDU Set Error Rate (PSER) is a parameter that defines the maximum allowable rate of PDU Sets that are not successfully delivered by the receiver to the upper layer, excluding congestion-related losses. It serves as an upper bound for non-congestion related PDU Set losses and enables appropriate link layer protocol configurations, such as RLC and HARQ in 3GPP access networks. The PSER is considered on a per QoS Flow basis, with each flow associated with at most one PSER value per direction, and it supersedes the Packet Error Rate (PER) if available.",Parameter,3GPP TS 23.501
"reusable Internet PKI. The profile defines: a set of information that can be expected in every CRL; and common locations within the CRL for frequently used attributes as well as common representations for these attributes. The following items describe the use of the X.509 v2 CRL in the Internet PKI. CertificateList: The CertificateList is a sequence of three required fields. - tbsCertList: This field is itself a sequence containing the name of the issuer, issue date, issue date of the next list, the optional list of revoked certificates, and optional CRL extensions. - signatureAlgorithm: The signatureAlgorithm field contains the algorithm identifier for the algorithm used by the CRL issuer to sign the CertificateList. - signatureValue: The signatureValue field contains a digital signature computed upon the ASN.1 DER encoded tbsCertList. Certificate List ""To Be Signed"": The or TBSCertList is a sequence of required and optional fields. The required fields identify the CRL issuer, the",CRL,A Certificate Revocation List (CRL) is a list of digital certificates that have been revoked by their issuing authority. It is used to ensure the validity of digital certificates and prevent the use of compromised certificates. CRLs are digitally signed by the certificate issuer to guarantee their authenticity and integrity., Protocol,3GPP TS 32.808
